Тролейбус №33;Четвер 28 травня 2026. Діє з 01.01.2026.
Мінський масив - Південний вокзал
№ випуску;Мінський масив;Вулиця Сошенка;Вулиця Сошенка;Куренівський парк;Станція метро «Лук’янівська»;Південний вокзал
4;—;—;—;—;06:09;06:23
1;06:10;06:19;06:21;06:37;06:53;07:07
2;06:34;06:43;06:46;07:01;07:19;07:33
3;06:58;07:07;07:09;07:26;07:44;07:58
4;07:17;07:27;07:30;07:47;08:05;08:20
5;07:40;07:49;07:52;08:09;08:27;08:41
1;08:03;08:13;08:15;08:32;08:50;09:04
2;08:28;08:37;08:40;08:57;09:15;09:30
3;09:09;09:18;09:20;09:37;09:55;10:09
4;09:15;10:15;10:16;—;—;—
5;09:49;09:58;10:00;10:17;10:35;10:49
1;09:57;10:53;10:54;—;—;—
2;10:24;11:20;11:21;—;—;—
4;10:25;10:34;10:36;10:53;11:11;11:26
1;11:03;11:12;11:14;11:31;11:48;12:02
3;11:05;11:48;11:49;—;—;—
2;11:30;11:39;11:40;11:57;12:15;12:30
3;11:58;12:07;12:09;12:26;12:44;12:59
4;12:23;12:32;12:38;12:55;13:13;13:27
1;12:56;13:05;13:06;13:23;13:41;13:55
2;13:25;13:34;13:36;13:53;14:11;14:25
3;13:54;14:03;14:06;14:23;14:41;14:56
4;14:23;14:33;14:35;14:52;15:09;15:23
1;14:50;14:59;15:01;15:18;15:36;15:51
2;15:21;15:30;15:32;15:49;16:07;16:22
3;15:51;16:00;16:02;16:19;16:36;16:50
4;16:17;16:26;16:28;16:45;17:03;17:17
1;16:46;16:55;16:57;17:14;17:31;17:45
2;17:16;17:25;17:28;17:45;18:02;18:16
3;17:44;18:21;18:22;—;—;—
5;17:52;18:01;18:05;18:22;18:39;18:54
4;18:11;18:51;18:52;—;—;—
3;18:31;18:40;18:42;18:59;19:16;19:30
1;18:39;19:33;19:34;—;—;—
4;19:01;19:10;19:12;19:29;19:47;20:01
2;19:10;20:04;20:05;—;—;—
1;19:43;19:52;19:54;20:10;20:26;20:39
2;20:14;20:23;20:25;20:41;20:57;21:10
3;20:41;20:50;20:53;21:09;21:25;21:39
4;21:10;21:19;21:22;21:38;21:54;22:08
1;21:33;21:42;21:50;22:06;22:22;22:35
2;22:02;22:11;22:15;22:31;22:47;23:00
Південний вокзал - Мінський масив
№ випуску;Південний вокзал;Станція метро «Лук’янівська»;Куренівський парк;Площа Шевченка;Мінський масив
1;—;—;05:48;06:02;06:09
2;—;—;06:12;06:26;06:33
3;—;—;06:36;06:50;06:57
4;06:25;06:36;06:54;07:09;07:16
5;—;—;07:18;07:32;07:39
1;07:10;07:22;07:40;07:55;08:02
2;07:35;07:47;08:05;08:20;08:27
3;08:00;08:12;08:30;08:45;08:52
4;08:22;08:34;08:52;09:07;09:14
5;08:43;08:55;09:12;09:27;09:34
1;09:05;09:17;09:34;09:49;09:56
2;09:32;09:44;10:01;10:16;10:23
3;10:11;10:23;10:41;10:56;11:03
5;10:51;11:03;11:20;11:35;11:42
4;11:29;11:42;12:00;12:15;12:22
1;12:04;12:16;12:33;12:48;12:55
2;12:32;12:44;13:02;13:17;13:24
3;13:01;13:13;13:31;13:46;13:53
4;13:30;13:42;14:00;14:15;14:22
1;13:57;14:09;14:27;14:42;14:49
2;14:27;14:39;14:57;15:12;15:19
3;14:58;15:10;15:28;15:43;15:50
4;15:25;15:37;15:54;16:09;16:16
1;15:53;16:05;16:23;16:38;16:45
2;16:24;16:36;16:53;17:08;17:15
3;16:52;17:04;17:21;17:36;17:43
5;—;—;17:30;17:44;17:51
4;17:19;17:31;17:48;18:03;18:10
1;17:47;17:59;18:16;18:31;18:38
2;18:18;18:30;18:47;19:02;19:09
5;18:56;19:08;19:25;19:40;19:47
3;19:32;19:44;20:01;20:16;20:23
4;20:03;20:15;20:31;20:45;20:52
1;20:42;20:54;21:10;21:24;21:31
2;21:12;21:24;21:40;21:54;22:01
3;21:42;21:53;22:09;22:23;22:30
4;22:10;22:22;22:38;22:52;22:59
1;22:37;22:49;—;—;—
2;23:02;23:14;—;—;—
