Автобус №46;Четвер 28 травня 2026. Діє з 04.03.2026. Зміна розкладу з 01.06.2026.
Вулиця Микитенка - Станція метро «Лівобережна»
№ випуску;Вулиця Микитенка;Вулиця Чорних Запорожців;Станція метро «Лівобережна»;Станція метро «Лівобережна»
1;06:00;06:15;06:28;06:30
2;06:20;06:35;06:48;06:50
3;06:40;06:55;07:08;07:10
1;07:00;07:15;07:28;07:30
2;07:20;07:35;07:48;07:50
3;07:40;07:55;08:08;08:10
1;08:00;08:15;08:28;08:30
2;08:20;08:35;08:48;08:50
3;08:40;08:55;09:08;09:10
1;09:00;09:15;09:28;09:30
2;09:20;09:35;09:48;09:50
3;09:45;10:00;10:13;10:15
1;10:15;10:30;10:43;10:45
2;10:45;11:00;11:13;11:15
3;11:15;11:30;11:43;11:45
1;11:45;12:00;12:13;12:15
2;12:08;12:23;12:36;12:38
3;12:30;12:45;12:58;13:00
1;12:50;13:05;13:18;13:20
2;13:10;13:25;13:38;13:40
3;13:30;13:45;13:58;14:00
1;13:50;14:05;14:18;14:20
2;14:10;14:25;14:38;14:40
3;14:30;14:45;14:58;15:00
1;14:50;15:05;15:18;15:20
2;15:10;15:25;15:38;15:40
3;15:30;15:45;15:58;16:00
1;15:50;16:05;16:18;16:20
2;16:10;16:25;16:38;16:40
3;16:35;16:50;17:03;17:05
1;17:05;17:20;17:33;17:35
2;17:30;17:45;17:58;18:00
3;17:50;18:05;18:18;18:20
1;18:10;18:25;18:38;18:40
2;18:35;18:50;19:03;19:05
3;19:00;19:15;19:28;19:30
1;19:35;19:50;20:03;20:05
2;20:00;20:15;20:28;20:30
3;20:25;20:40;20:53;20:55
1;20:45;21:00;21:13;21:15
2;21:05;21:20;21:33;21:35
3;21:25;21:40;21:53;21:55
1;21:45;22:00;22:13;22:15
2;22:05;22:20;22:33;22:35
3;22:25;22:40;22:53;22:55
Станція метро «Лівобережна» - Вулиця Микитенка
№ випуску;Станція метро «Лівобережна»;Вулиця Чорних Запорожців;Вулиця Микитенка
1;06:35;06:47;06:58
2;06:55;07:07;07:18
3;07:12;07:24;07:35
1;07:33;07:45;07:56
2;07:53;08:05;08:16
3;08:13;08:25;08:36
1;08:33;08:45;08:56
2;08:53;09:05;09:16
3;09:15;09:27;09:38
1;09:35;09:47;09:58
2;09:53;10:05;10:16
3;10:20;10:32;10:43
1;10:50;11:02;11:13
2;11:20;11:32;11:43
3;11:50;12:02;12:13
1;12:22;12:34;12:45
2;12:43;12:55;13:06
3;13:05;13:17;13:28
1;13:22;13:34;13:45
2;13:43;13:55;14:06
3;14:03;14:15;14:26
1;14:23;14:35;14:46
2;14:45;14:57;15:08
3;15:03;15:15;15:26
1;15:23;15:35;15:46
2;15:43;15:55;16:06
3;16:03;16:15;16:26
1;16:23;16:35;16:46
2;16:45;16:57;17:08
3;17:10;17:22;17:33
1;17:40;17:52;18:03
2;18:05;18:17;18:28
3;18:25;18:37;18:48
1;18:45;18:56;19:07
2;19:10;19:22;19:33
3;19:35;19:47;19:57
1;20:10;20:22;20:35
2;20:33;20:45;20:56
3;21:00;21:12;21:23
1;21:20;21:32;21:43
2;21:40;21:52;22:03
3;22:00;22:12;22:23
1;22:20;22:32;22:43
2;22:40;22:52;23:03
3;23:00;23:12;23:23
