Автобус №74;Четвер 28 травня 2026. Діє з 30.04.2026. Зміна розкладу з 01.06.2026.
Станція метро «Славутич» - вулиця Центральна (база відпочинку "Либідь")
№ випуску;Станція метро «Славутич»;вулиця Центральна (база відпочинку "Либідь") висадка;вулиця Центральна (база відпочинку "Либідь")
1;06:30;06:50;07:02
2;07:00;07:20;07:32
1;07:30;07:50;08:02
2;08:00;08:20;08:32
1;08:30;08:50;09:02
2;09:00;09:20;09:32
2;10:00;10:20;10:32
1;10:30;10:50;11:02
1;11:30;11:50;12:02
1;12:30;12:50;13:02
1;13:30;13:50;14:02
1;14:30;14:50;15:02
1;15:30;15:50;16:02
1;16:30;16:50;17:02
2;17:00;17:20;17:32
2;18:00;18:20;18:32
1;18:30;18:50;19:02
2;19:00;19:20;19:32
1;19:30;19:50;20:02
1;20:30;20:50;21:02
1;21:30;21:50;22:02
вулиця Центральна (база відпочинку "Либідь") - Станція метро «Славутич»
№ випуску;вулиця Центральна (база відпочинку "Либідь");Станція метро «Славутич»
1;07:05;07:25
2;07:35;07:55
1;08:05;08:25
2;08:35;08:55
2;09:35;09:55
1;10:05;10:25
2;10:35;10:55
1;11:05;11:25
1;12:05;12:25
1;13:05;13:25
1;14:05;14:25
1;15:05;15:25
1;16:05;16:25
2;17:35;17:55
1;18:05;18:25
2;18:35;18:55
1;19:05;19:25
2;19:35;19:55
1;20:05;20:25
1;21:05;21:25
1;22:05;22:25
